[OK] sig_x=1.2378e-02  sig_y=1.2349e-02  alpha_x=7.6051e+01  alpha_y=7.7183e+01  X=[0.567 1.07 0.821 0.503]
[OK] sig_x=1.6926e-02  sig_y=1.6861e-02  alpha_x=1.1648e+02  alpha_y=1.1623e+02  X=[0.14 0.701 0.226 0]
[OK] sig_x=2.8055e-03  sig_y=2.8259e-03  alpha_x=-7.1916e+01  alpha_y=-7.2081e+01  X=[1.13 0.212 0.552 0.403]
[OK] sig_x=8.2114e-03  sig_y=8.2141e-03  alpha_x=-2.6784e+02  alpha_y=-2.6447e+02  X=[0.829 0.804 0.398 0.657]
[OK] sig_x=2.3957e-02  sig_y=2.3920e-02  alpha_x=2.1159e+03  alpha_y=2.0959e+03  X=[1.04 1.29 0 0.741]
[OK] sig_x=1.2322e-02  sig_y=1.2261e-02  alpha_x=2.0207e+02  alpha_y=1.9989e+02  X=[0.666 0.583 0.341 0.15]
[OK] sig_x=1.4566e-02  sig_y=1.4578e-02  alpha_x=-1.3829e+03  alpha_y=-1.3723e+03  X=[0.851 1 1.4 1.4]
[OK] sig_x=6.2055e-03  sig_y=6.2366e-03  alpha_x=-8.6733e+02  alpha_y=-8.6761e+02  X=[1.4 0.383 0.254 1.07]
[OK] sig_x=6.7931e-03  sig_y=6.7543e-03  alpha_x=1.3367e+02  alpha_y=1.3322e+02  X=[0.179 1.05 0.988 0.684]
[OK] sig_x=2.0803e-02  sig_y=2.0728e-02  alpha_x=-1.3558e+02  alpha_y=-1.3208e+02  X=[0.465 0.631 0 0.145]
[OK] sig_x=1.0484e-02  sig_y=1.0453e-02  alpha_x=1.1718e+02  alpha_y=1.1770e+02  X=[0.421 1.06 0.858 0.589]
[OK] sig_x=1.1936e-02  sig_y=1.1939e-02  alpha_x=-4.5044e+02  alpha_y=-4.4543e+02  X=[0.443 0.931 0.142 0.657]
[OK] sig_x=5.6808e-03  sig_y=5.7186e-03  alpha_x=-1.5377e+02  alpha_y=-1.5403e+02  X=[1.04 0.614 0.174 0.263]
[OK] sig_x=2.6320e-02  sig_y=2.6464e-02  alpha_x=-2.5795e+01  alpha_y=-2.5342e+01  X=[1.4 1.32 0.446 0.416]
[OK] sig_x=8.9597e-03  sig_y=8.9640e-03  alpha_x=-1.4190e+02  alpha_y=-1.3948e+02  X=[0.894 0.833 0 0.721]
[OK] sig_x=2.8486e-02  sig_y=2.8504e-02  alpha_x=2.7030e+02  alpha_y=2.6736e+02  X=[0.7 1.4 0.744 0.0928]
[OK] sig_x=1.1093e-02  sig_y=1.1111e-02  alpha_x=1.9608e+02  alpha_y=1.9654e+02  X=[1.4 0.196 0.398 0.591]
