[OK] sig_x=2.5090e-03  sig_y=2.5282e-03  alpha_x=-1.7577e+00  alpha_y=-1.7952e+00  X=[1.11 0.986 0.953 0.603]
[OK] sig_x=8.5501e-03  sig_y=8.5154e-03  alpha_x=2.3755e+00  alpha_y=2.3931e+00  X=[0 1.11 0.918 0.568]
[OK] sig_x=2.1351e-02  sig_y=2.1325e-02  alpha_x=7.7119e+00  alpha_y=7.7640e+00  X=[1.24 1.13 0 0.676]
[OK] sig_x=7.2809e-03  sig_y=7.2768e-03  alpha_x=1.1771e+00  alpha_y=1.2039e+00  X=[1.4 0.148 0.764 0.136]
[OK] sig_x=8.7628e-03  sig_y=8.7340e-03  alpha_x=1.5918e+00  alpha_y=1.6133e+00  X=[1 1.01 0.857 0.332]
[OK] sig_x=1.0688e-02  sig_y=1.0695e-02  alpha_x=-3.6555e+00  alpha_y=-3.6638e+00  X=[0.9 0.839 0.275 0.611]
[OK] sig_x=2.2865e-03  sig_y=2.2986e-03  alpha_x=-1.1796e+00  alpha_y=-1.2128e+00  X=[1.4 0.435 0.952 0]
[OK] sig_x=1.8585e-02  sig_y=1.8532e-02  alpha_x=1.2513e+01  alpha_y=1.2548e+01  X=[0 0.383 0.531 0.342]
[OK] sig_x=2.0147e-03  sig_y=2.0264e-03  alpha_x=-1.4774e+00  alpha_y=-1.4932e+00  X=[1.06 0.285 0.339 0.749]
[OK] sig_x=2.4181e-02  sig_y=2.4181e-02  alpha_x=-2.8977e+01  alpha_y=-2.9164e+01  X=[0.402 1.23 1.16 0.821]
[OK] sig_x=7.6912e-03  sig_y=7.6527e-03  alpha_x=5.4909e+00  alpha_y=5.4945e+00  X=[0.346 0.555 0.602 0]
[OK] sig_x=1.8996e-02  sig_y=1.8941e-02  alpha_x=1.4756e+01  alpha_y=1.4793e+01  X=[0.46 0 0.47 0.491]
[OK] sig_x=2.2075e-03  sig_y=2.2239e-03  alpha_x=-1.2715e+00  alpha_y=-1.3036e+00  X=[0.615 1.07 0.988 0.79]
[OK] sig_x=1.7922e-03  sig_y=1.7746e-03  alpha_x=1.6512e+00  alpha_y=1.6456e+00  X=[1.4 0.881 0.476 0.847]
[OK] sig_x=1.2668e-02  sig_y=1.2617e-02  alpha_x=-6.0907e+00  alpha_y=-6.0605e+00  X=[0.363 0.913 1.06 0.853]
[OK] sig_x=1.2674e-02  sig_y=1.2725e-02  alpha_x=-2.2629e+01  alpha_y=-2.2921e+01  X=[1.4 0.357 0.211 1.19]
[OK] sig_x=9.0930e-03  sig_y=9.1000e-03  alpha_x=3.1245e+00  alpha_y=3.1689e+00  X=[1.29 0.614 0.072 0.74]
[OK] sig_x=1.8921e-03  sig_y=1.9037e-03  alpha_x=-9.8892e-01  alpha_y=-1.0184e+00  X=[1.4 0.86 0.928 0]
[OK] sig_x=4.0795e-03  sig_y=4.0623e-03  alpha_x=1.3616e+00  alpha_y=1.3797e+00  X=[1.4 0 0.812 0.323]
[OK] sig_x=2.6559e-03  sig_y=2.6709e-03  alpha_x=-1.2157e+00  alpha_y=-1.2257e+00  X=[1.13 0.272 0.301 0.726]
[OK] sig_x=3.0537e-03  sig_y=3.0301e-03  alpha_x=1.0739e+00  alpha_y=1.0829e+00  X=[1.4 0.253 0.849 0.286]
[OK] sig_x=2.0320e-03  sig_y=2.0101e-03  alpha_x=4.7997e-01  alpha_y=4.8726e-01  X=[1.31 0 0.601 0.839]
[OK] sig_x=2.8955e-02  sig_y=2.8445e-02  alpha_x=-1.8067e+02  alpha_y=-1.8540e+02  X=[0.473 1.37 0 0]
[OK] sig_x=1.1773e-02  sig_y=1.1721e-02  alpha_x=-2.1883e+01  alpha_y=-2.1823e+01  X=[1.05 0 0.377 1.11]
[OK] sig_x=2.3538e-03  sig_y=2.3717e-03  alpha_x=-2.0966e+00  alpha_y=-2.1435e+00  X=[1.4 0 0.713 0.822]

--- Optimisation Complete ---
Pareto front size: 5
sig_x=3.1923e-03  sig_y=3.1506e-03  alpha_x=-2.4919e-01  alpha_y=-2.3675e-01  X=[1.31 0.0875 0.962 0.262]
sig_x=8.8785e-03  sig_y=8.8374e-03  alpha_x=-3.1344e-01  alpha_y=-2.9112e-01  X=[0.481 1.01 1.01 0.569]
sig_x=7.3491e-03  sig_y=7.3058e-03  alpha_x=4.5977e+00  alpha_y=4.5960e+00  X=[0.671 0.53 0.501 0.286]
sig_x=7.2809e-03  sig_y=7.2768e-03  alpha_x=1.1771e+00  alpha_y=1.2039e+00  X=[1.4 0.148 0.764 0.136]
sig_x=7.6912e-03  sig_y=7.6527e-03  alpha_x=5.4909e+00  alpha_y=5.4945e+00  X=[0.346 0.555 0.602 0]
