[OK] sig_x=1.0808e-02  sig_y=1.0820e-02  alpha_x=-5.1583e+00  alpha_y=-5.1843e+00  X=[0.992 0.774 0.427 0.437]
[OK] sig_x=2.0717e-03  sig_y=2.0828e-03  alpha_x=-1.5759e+00  alpha_y=-1.5907e+00  X=[1.07 0.282 0.306 0.77]
[OK] sig_x=3.9712e-03  sig_y=3.9433e-03  alpha_x=1.5543e+00  alpha_y=1.5623e+00  X=[1.28 0.837 0.869 0.309]
[OK] sig_x=2.3350e-02  sig_y=2.3372e-02  alpha_x=-1.4786e+01  alpha_y=-1.4909e+01  X=[1.4 0.501 0.164 0.294]
[OK] sig_x=2.5459e-02  sig_y=2.5380e-02  alpha_x=-2.6988e+01  alpha_y=-2.7111e+01  X=[0 1.38 0 1.14]
[OK] sig_x=8.4337e-03  sig_y=8.3965e-03  alpha_x=-1.3278e+00  alpha_y=-1.3033e+00  X=[0.862 0.908 0.956 0.459]
[OK] sig_x=5.1849e-03  sig_y=5.1536e-03  alpha_x=1.1711e+00  alpha_y=1.1852e+00  X=[1.2 0.863 0.91 0]
[OK] sig_x=1.0010e-03  sig_y=9.8917e-04  alpha_x=3.5704e-01  alpha_y=3.3822e-01  X=[1.07 1.22 0 0.972]
[OK] sig_x=1.4561e-02  sig_y=1.4524e-02  alpha_x=1.1341e+01  alpha_y=1.1378e+01  X=[1.24 1.4 0 0.825]
[OK] sig_x=7.0769e-03  sig_y=7.0481e-03  alpha_x=2.0326e+00  alpha_y=2.0507e+00  X=[0.996 1.01 0.86 0.442]
[OK] sig_x=3.9585e-03  sig_y=3.9270e-03  alpha_x=1.9139e+00  alpha_y=1.9150e+00  X=[0.31 1.1 0.896 0.734]
[OK] sig_x=2.8730e-02  sig_y=2.8756e-02  alpha_x=-9.0577e+01  alpha_y=-8.9545e+01  X=[1.21 1.35 0 1.4]
[OK] sig_x=1.2591e-02  sig_y=1.2569e-02  alpha_x=8.7069e+00  alpha_y=8.7533e+00  X=[1.05 1.13 0.137 0.818]
[OK] sig_x=6.9707e-03  sig_y=7.0065e-03  alpha_x=-6.5596e+00  alpha_y=-6.6541e+00  X=[1.4 0.751 1.01 0.131]
[OK] sig_x=3.5620e-03  sig_y=3.5437e-03  alpha_x=1.3500e+00  alpha_y=1.3652e+00  X=[1.4 0 0.802 0.408]
[OK] sig_x=7.3921e-03  sig_y=7.3887e-03  alpha_x=1.2093e+00  alpha_y=1.2365e+00  X=[1.4 0.161 0.758 0.169]
[OK] sig_x=1.6511e-02  sig_y=1.6524e-02  alpha_x=-2.5557e+00  alpha_y=-2.5560e+00  X=[1.4 0.563 0.535 0.28]
[OK] sig_x=2.9168e-02  sig_y=2.9011e-02  alpha_x=-4.6298e+01  alpha_y=-4.6164e+01  X=[0.431 1.27 1.33 1.31]
[OK] sig_x=9.6972e-03  sig_y=9.7605e-03  alpha_x=-9.9159e+00  alpha_y=-1.0096e+01  X=[1.4 0 1.12 0.0932]
[OK] sig_x=1.1412e-02  sig_y=1.1443e-02  alpha_x=-7.3810e+00  alpha_y=-7.4503e+00  X=[0 1.4 1.03 0]
[OK] sig_x=4.5444e-03  sig_y=4.5701e-03  alpha_x=-1.4003e+00  alpha_y=-1.4134e+00  X=[1.19 0.269 0.424 0.521]
[OK] sig_x=2.8568e-02  sig_y=2.8525e-02  alpha_x=-9.7124e+00  alpha_y=-9.7545e+00  X=[1.4 1.4 0.459 0.284]
[OK] sig_x=1.3930e-02  sig_y=1.3901e-02  alpha_x=5.2753e+00  alpha_y=5.3089e+00  X=[0 1.17 0.686 0.673]
[OK] sig_x=1.2258e-02  sig_y=1.2238e-02  alpha_x=8.8787e+00  alpha_y=8.9271e+00  X=[1.26 1.08 0 0.798]
[OK] sig_x=2.9124e-02  sig_y=2.9019e-02  alpha_x=-3.9888e+01  alpha_y=-3.9723e+01  X=[0.283 1.13 0.265 0.266]
[OK] sig_x=5.6877e-03  sig_y=5.7155e-03  alpha_x=-4.7249e+00  alpha_y=-4.7867e+00  X=[0 1.1 1.03 0.929]
[OK] sig_x=1.4938e-02  sig_y=1.4893e-02  alpha_x=6.3315e+00  alpha_y=6.3573e+00  X=[1.4 1.4 0.674 0.388]
[OK] sig_x=1.1071e-02  sig_y=1.1019e-02  alpha_x=4.6485e+00  alpha_y=4.6581e+00  X=[0.307 0.687 0.341 0.264]
[OK] sig_x=7.3097e-03  sig_y=7.3525e-03  alpha_x=-1.1020e+01  alpha_y=-1.1201e+01  X=[1.36 0.222 0.116 1.15]
[OK] sig_x=8.3725e-03  sig_y=8.3951e-03  alpha_x=-1.8264e+00  alpha_y=-1.8303e+00  X=[1.24 0.427 0.452 0.475]
[OK] sig_x=8.6147e-03  sig_y=8.6064e-03  alpha_x=-3.5570e+00  alpha_y=-3.5524e+00  X=[0.319 0.916 0 0.875]
[OK] sig_x=7.4171e-03  sig_y=7.3608e-03  alpha_x=2.3794e+00  alpha_y=2.3793e+00  X=[0.829 0.531 0.418 0]
[OK] sig_x=3.7585e-03  sig_y=3.7416e-03  alpha_x=-2.3482e+00  alpha_y=-2.3213e+00  X=[1.17 0.193 0.271 0.952]
[OK] sig_x=2.8666e-02  sig_y=2.8554e-02  alpha_x=-5.3611e+01  alpha_y=-5.3894e+01  X=[0.671 0.241 1.01 0]
[OK] sig_x=3.2265e-03  sig_y=3.1967e-03  alpha_x=1.8545e+00  alpha_y=1.8499e+00  X=[1.4 1.18 0.869 0]
[OK] sig_x=2.7862e-02  sig_y=2.8053e-02  alpha_x=1.4326e-01  alpha_y=1.3711e-01  X=[1.4 1.4 0.33 0.48]
[OK] sig_x=9.0302e-03  sig_y=8.9930e-03  alpha_x=3.0515e+00  alpha_y=3.0674e+00  X=[0.653 1.2 0.935 0]
[OK] sig_x=1.1431e-02  sig_y=1.1369e-02  alpha_x=4.0684e+00  alpha_y=4.0730e+00  X=[0.921 0.0193 0.518 0.00154]
[OK] sig_x=1.5333e-02  sig_y=1.5350e-02  alpha_x=-1.9319e+01  alpha_y=-1.9464e+01  X=[0.587 1.18 0.938 0.986]
[OK] sig_x=1.8470e-02  sig_y=1.8414e-02  alpha_x=8.9915e+00  alpha_y=9.0197e+00  X=[0 0.509 0.519 0.146]
[OK] sig_x=5.5458e-03  sig_y=5.5837e-03  alpha_x=-5.0683e+00  alpha_y=-5.1608e+00  X=[1.4 0.302 0.97 0.547]
[OK] sig_x=5.6060e-03  sig_y=5.5691e-03  alpha_x=1.3048e+00  alpha_y=1.3166e+00  X=[0.439 1.02 0.962 0.755]
[OK] sig_x=1.3045e-02  sig_y=1.3006e-02  alpha_x=2.7079e+00  alpha_y=2.7306e+00  X=[0.267 1.2 0.922 0.131]
[OK] sig_x=9.2807e-03  sig_y=9.3075e-03  alpha_x=-1.0334e+01  alpha_y=-1.0441e+01  X=[0 1.07 0.844 1.17]
[OK] sig_x=7.0716e-03  sig_y=7.0403e-03  alpha_x=2.5203e+00  alpha_y=2.5357e+00  X=[1.12 1.08 0.884 0.102]
[OK] sig_x=2.3872e-03  sig_y=2.3625e-03  alpha_x=-1.7616e-01  alpha_y=-1.5804e-01  X=[1.23 0.264 0.271 0.994]
[OK] sig_x=4.3670e-03  sig_y=4.3810e-03  alpha_x=-2.6156e+00  alpha_y=-2.6329e+00  X=[1.14 0 0.706 0.164]
[OK] sig_x=3.7770e-03  sig_y=3.7310e-03  alpha_x=1.5197e+00  alpha_y=1.5055e+00  X=[1 0.296 0.543 0]
[OK] sig_x=2.8829e-02  sig_y=2.8566e-02  alpha_x=-9.1750e+01  alpha_y=-9.0517e+01  X=[0.311 0.102 1.05 0.963]
[OK] sig_x=1.1630e-02  sig_y=1.1684e-02  alpha_x=-2.0448e+01  alpha_y=-2.0738e+01  X=[1.4 0.121 0.294 1.19]
[OK] sig_x=4.4325e-03  sig_y=4.4001e-03  alpha_x=1.6722e+00  alpha_y=1.6784e+00  X=[0 1.04 0.846 0.898]
[OK] sig_x=2.8943e-02  sig_y=2.8559e-02  alpha_x=-5.8121e+01  alpha_y=-5.7982e+01  X=[0.216 1.32 0.287 0.299]
[OK] sig_x=1.5985e-02  sig_y=1.6053e-02  alpha_x=-2.1627e+01  alpha_y=-2.1922e+01  X=[1.4 0 1.2 1.22]
[OK] sig_x=6.7806e-03  sig_y=6.7702e-03  alpha_x=5.4097e-01  alpha_y=5.6402e-01  X=[1.27 0.584 0.721 0.459]
[OK] sig_x=1.4718e-02  sig_y=1.4662e-02  alpha_x=5.2182e+00  alpha_y=5.2351e+00  X=[0.437 0.582 0.453 0]
[OK] sig_x=1.1783e-02  sig_y=1.1768e-02  alpha_x=2.7129e+00  alpha_y=2.7447e+00  X=[0.187 1.04 0.131 0.855]
[OK] sig_x=3.1982e-03  sig_y=3.1845e-03  alpha_x=-7.6355e-01  alpha_y=-7.4068e-01  X=[1.19 0.308 0.243 0.936]
[OK] sig_x=2.7234e-03  sig_y=2.6915e-03  alpha_x=1.1349e+00  alpha_y=1.1289e+00  X=[0.264 1.08 0.938 0.788]
[OK] sig_x=3.8753e-03  sig_y=3.8559e-03  alpha_x=3.1874e+00  alpha_y=3.1966e+00  X=[0.817 1.04 0 0.969]
[OK] sig_x=1.3942e-02  sig_y=1.3910e-02  alpha_x=1.9378e+00  alpha_y=1.9630e+00  X=[0.499 1.13 0.836 0.415]
[OK] sig_x=9.2118e-03  sig_y=9.1754e-03  alpha_x=9.9212e+00  alpha_y=9.9321e+00  X=[0.57 0.0375 0.396 0.676]
[OK] sig_x=1.2155e-02  sig_y=1.2172e-02  alpha_x=-6.5644e+00  alpha_y=-6.6071e+00  X=[0.826 0.854 0.0274 0.486]
[OK] sig_x=7.3107e-03  sig_y=7.3362e-03  alpha_x=-6.7640e+00  alpha_y=-6.8205e+00  X=[0.737 1.4 0 1.02]
[OK] sig_x=5.3803e-03  sig_y=5.4046e-03  alpha_x=-3.3145e+00  alpha_y=-3.3515e+00  X=[0 0.87 0.0953 0.439]
[OK] sig_x=7.8899e-03  sig_y=7.9423e-03  alpha_x=-2.8621e+00  alpha_y=-2.9107e+00  X=[1.25 0 0.232 0.283]
[OK] sig_x=1.6099e-02  sig_y=1.6024e-02  alpha_x=8.9689e-01  alpha_y=9.1601e-01  X=[0.83 0.403 0.323 0.128]
[OK] sig_x=6.8794e-03  sig_y=6.9011e-03  alpha_x=-7.4242e+00  alpha_y=-7.4998e+00  X=[0.188 1.13 0.38 1.1]
[OK] sig_x=4.2125e-03  sig_y=4.1763e-03  alpha_x=1.2902e+00  alpha_y=1.2950e+00  X=[0.692 1.03 0.985 0.612]
[OK] sig_x=1.6329e-02  sig_y=1.6449e-02  alpha_x=-2.1828e+01  alpha_y=-2.2198e+01  X=[1.4 0 1.24 0.435]
[OK] sig_x=1.5045e-02  sig_y=1.5031e-02  alpha_x=1.7016e+00  alpha_y=1.7305e+00  X=[1.4 0.873 0.628 0.312]
[OK] sig_x=8.6437e-03  sig_y=8.6573e-03  alpha_x=4.7296e+00  alpha_y=4.7922e+00  X=[1.4 0.144 0.032 0.759]
[OK] sig_x=1.6829e-03  sig_y=1.6634e-03  alpha_x=-1.7254e-02  alpha_y=-2.9257e-02  X=[1.4 0.179 0.897 0.317]
[OK] sig_x=4.9669e-03  sig_y=4.9393e-03  alpha_x=5.2894e+00  alpha_y=5.2873e+00  X=[0 0.238 0.184 0.819]
[OK] sig_x=2.9018e-02  sig_y=2.9077e-02  alpha_x=-3.3917e+00  alpha_y=-3.3738e+00  X=[1.11 1.4 0.391 0.459]
[OK] sig_x=9.0350e-03  sig_y=8.9619e-03  alpha_x=6.7894e-01  alpha_y=6.9185e-01  X=[0.856 0.578 0 0]
[OK] sig_x=1.1146e-03  sig_y=1.1004e-03  alpha_x=4.2153e-01  alpha_y=4.0434e-01  X=[0.614 1.12 0.155 1.01]
[OK] sig_x=8.0562e-03  sig_y=8.0775e-03  alpha_x=-1.6146e+00  alpha_y=-1.6157e+00  X=[1.16 0.592 0.165 0.613]
[OK] sig_x=2.5375e-03  sig_y=2.5570e-03  alpha_x=-1.6255e+00  alpha_y=-1.6612e+00  X=[1.27 1.01 0.974 0]
[OK] sig_x=1.5778e-02  sig_y=1.5787e-02  alpha_x=-9.2328e+00  alpha_y=-9.2834e+00  X=[0.29 0.961 0 0.526]
[OK] sig_x=2.8867e-02  sig_y=2.8667e-02  alpha_x=-3.3787e+01  alpha_y=-3.3214e+01  X=[1.1 1.4 0.0446 0.405]
[OK] sig_x=1.2640e-02  sig_y=1.2553e-02  alpha_x=-8.6946e-01  alpha_y=-8.4297e-01  X=[0.957 0.391 0.121 0]
[OK] sig_x=2.0751e-02  sig_y=2.0750e-02  alpha_x=-5.9343e+00  alpha_y=-5.9515e+00  X=[1.16 0.917 0.236 0.486]
[OK] sig_x=1.2850e-02  sig_y=1.2811e-02  alpha_x=2.0228e+00  alpha_y=2.0450e+00  X=[0.276 1.18 0.936 0]
[OK] sig_x=3.4367e-03  sig_y=3.3891e-03  alpha_x=-3.5822e-01  alpha_y=-3.4951e-01  X=[1.18 0.644 1.07 0.453]
[OK] sig_x=1.3135e-02  sig_y=1.3054e-02  alpha_x=-1.3079e-01  alpha_y=-1.0922e-01  X=[0.887 0.472 0 0.181]

--- Optimisation Complete ---
Pareto front size: 8
sig_x=3.1923e-03  sig_y=3.1506e-03  alpha_x=-2.4919e-01  alpha_y=-2.3675e-01  X=[1.31 0.0875 0.962 0.262]
sig_x=8.8785e-03  sig_y=8.8374e-03  alpha_x=-3.1344e-01  alpha_y=-2.9112e-01  X=[0.481 1.01 1.01 0.569]
sig_x=7.3921e-03  sig_y=7.3887e-03  alpha_x=1.2093e+00  alpha_y=1.2365e+00  X=[1.4 0.161 0.758 0.169]
sig_x=7.4171e-03  sig_y=7.3608e-03  alpha_x=2.3794e+00  alpha_y=2.3793e+00  X=[0.829 0.531 0.418 0]
sig_x=2.3872e-03  sig_y=2.3625e-03  alpha_x=-1.7616e-01  alpha_y=-1.5804e-01  X=[1.23 0.264 0.271 0.994]
sig_x=6.7806e-03  sig_y=6.7702e-03  alpha_x=5.4097e-01  alpha_y=5.6402e-01  X=[1.27 0.584 0.721 0.459]
sig_x=1.6829e-03  sig_y=1.6634e-03  alpha_x=-1.7254e-02  alpha_y=-2.9257e-02  X=[1.4 0.179 0.897 0.317]
sig_x=1.3135e-02  sig_y=1.3054e-02  alpha_x=-1.3079e-01  alpha_y=-1.0922e-01  X=[0.887 0.472 0 0.181]
