sig_x=1.4584e-02  sig_y=1.4616e-02  sig_x=3.7453e-04  sig_y=3.7643e-04  X=[1.4 0.206 0.212 0.563]
sig_x=1.4702e-02  sig_y=1.4739e-02  sig_x=3.6054e-04  sig_y=3.6210e-04  X=[1.4 0 0 0.581]
sig_x=7.7100e-03  sig_y=7.7304e-03  sig_x=5.0814e-04  sig_y=5.0156e-04  X=[1.28 0.335 0.387 0.593]
sig_x=7.5213e-03  sig_y=7.5355e-03  sig_x=5.6593e-04  sig_y=5.5815e-04  X=[1.16 0.619 0 0.699]
sig_x=1.7132e-02  sig_y=1.7058e-02  sig_x=2.8571e-04  sig_y=2.8184e-04  X=[0.606 0.62 0 0.12]
[OK] sig_x=2.9172e-02  sig_y=2.9010e-02  alpha_x=-5.5173e+01  alpha_y=-5.5160e+01  X=[1.21 1.06 0 0]
[OK] sig_x=1.9937e-02  sig_y=1.9994e-02  alpha_x=-4.4599e+01  alpha_y=-4.5144e+01  X=[1.4 0.0833 0.682 1.4]
[OK] sig_x=1.2724e-02  sig_y=1.2742e-02  alpha_x=-1.7912e+00  alpha_y=-1.7885e+00  X=[1.4 0.194 0.632 0]
[OK] sig_x=2.8657e-02  sig_y=2.8809e-02  alpha_x=-6.6040e+01  alpha_y=-6.6507e+01  X=[0 1.4 0.47 0]
[OK] sig_x=2.4397e-02  sig_y=2.4401e-02  alpha_x=-3.6127e+01  alpha_y=-3.6283e+01  X=[1.4 1.4 1.06 0.717]
[OK] sig_x=8.7730e-03  sig_y=8.7788e-03  alpha_x=-9.4438e+00  alpha_y=-9.4998e+00  X=[0.183 0.742 0.713 0]
[OK] sig_x=1.3129e-02  sig_y=1.3144e-02  alpha_x=9.4632e-01  alpha_y=9.7410e-01  X=[1.4 0.422 0.509 0.449]
[OK] sig_x=1.6026e-02  sig_y=1.5992e-02  alpha_x=2.0813e+00  alpha_y=2.1074e+00  X=[1.08 1.18 0.783 0]
[OK] sig_x=4.7517e-03  sig_y=4.7748e-03  alpha_x=-2.8774e+00  alpha_y=-2.9106e+00  X=[0.871 0.674 0.516 0.171]
[OK] sig_x=2.1673e-03  sig_y=2.1808e-03  alpha_x=-1.1777e+00  alpha_y=-1.2104e+00  X=[1.4 0.643 0.942 0]
[OK] sig_x=1.1975e-03  sig_y=1.1820e-03  alpha_x=9.6224e-01  alpha_y=9.5081e-01  X=[1.4 0.854 0.245 0.923]
[OK] sig_x=2.9096e-02  sig_y=2.8970e-02  alpha_x=-4.2700e+01  alpha_y=-4.2668e+01  X=[0.0255 1.4 0.972 0.974]
[OK] sig_x=2.1286e-03  sig_y=2.1026e-03  alpha_x=1.1630e+00  alpha_y=1.1536e+00  X=[1.4 1.06 0.859 0.301]
[OK] sig_x=6.7483e-03  sig_y=6.7235e-03  alpha_x=4.3848e+00  alpha_y=4.4023e+00  X=[1.4 1.07 0.717 0.511]
