[INFEASIBLE] sig_x=1.7393e-02  sig_y=1.7352e-02  alpha_x=1.2445e+01  alpha_y=1.2490e+01  X=[1.25 1.4 0.0453 0.793]
[INFEASIBLE] sig_x=2.8688e-02  sig_y=2.8832e-02  alpha_x=-8.8901e+01  alpha_y=-8.8284e+01  X=[1.27 1.31 1.35 0.111]
[INFEASIBLE] sig_x=2.7112e-02  sig_y=2.7103e-02  alpha_x=-3.1243e+01  alpha_y=-3.1604e+01  X=[0.28 1.35 1.06 0.791]
[INFEASIBLE] sig_x=1.1467e-02  sig_y=1.1487e-02  alpha_x=-1.0846e+01  alpha_y=-1.0934e+01  X=[0.296 1.29 0.917 0.784]
[INFEASIBLE] sig_x=2.0225e-02  sig_y=2.0178e-02  alpha_x=-3.0662e+01  alpha_y=-3.0704e+01  X=[0.66 0.68 0.966 0.64]
[OK] sig_x=1.6849e-02  sig_y=1.6830e-02  alpha_x=7.4681e+00  alpha_y=7.5197e+00  X=[0.993 1.09 0.00711 0.753]
[OK] sig_x=1.6718e-02  sig_y=1.6762e-02  alpha_x=-2.1453e+00  alpha_y=-2.1520e+00  X=[1.4 0 0 0.511]
[INFEASIBLE] sig_x=1.3139e-02  sig_y=1.3203e-02  alpha_x=-1.6073e+01  alpha_y=-1.6155e+01  X=[0.0958 0.00193 0 0.97]
[OK] sig_x=1.0037e-02  sig_y=9.9774e-03  alpha_x=-2.8336e-02  alpha_y=-6.9225e-03  X=[0.279 0.873 1.4 1.27]
[INFEASIBLE] sig_x=1.0220e-02  sig_y=1.0258e-02  alpha_x=-1.1441e+01  alpha_y=-1.1582e+01  X=[1.16 0.88 1.14 0.863]
[INFEASIBLE] sig_x=1.0927e-02  sig_y=1.0980e-02  alpha_x=-1.1799e+01  alpha_y=-1.1971e+01  X=[1.36 0.669 1.12 0]
[INFEASIBLE] sig_x=2.4833e-02  sig_y=2.4654e-02  alpha_x=-5.0821e+01  alpha_y=-5.0940e+01  X=[1.4 0.573 1.37 0]
[OK] sig_x=1.2572e-02  sig_y=1.2524e-02  alpha_x=-2.8935e+00  alpha_y=-2.8685e+00  X=[0 1.05 1.06 0.156]
[INFEASIBLE] sig_x=2.9128e-02  sig_y=2.8860e-02  alpha_x=-7.7236e+01  alpha_y=-7.7413e+01  X=[0.19 0.64 0.818 1.27]
[INFEASIBLE] sig_x=2.2572e-02  sig_y=2.2609e-02  alpha_x=-2.0101e+01  alpha_y=-2.0318e+01  X=[1.4 0.00207 0.00566 0.0322]
[INFEASIBLE] sig_x=2.7893e-02  sig_y=2.8330e-02  alpha_x=-2.0801e+02  alpha_y=-2.0694e+02  X=[0.152 0.118 1.34 0.109]
[OK] sig_x=7.2533e-03  sig_y=7.2554e-03  alpha_x=-4.7536e+00  alpha_y=-4.8057e+00  X=[1.28 0.14 1.35 0.00099]
