[OK] sig_x=1.2189e-03  sig_y=1.2277e-03  alpha_x=-8.4353e-01  alpha_y=-8.6844e-01  X=[0 0 0.667 0.531]
[OK] sig_x=9.0010e-03  sig_y=8.9499e-03  alpha_x=-3.5803e+00  alpha_y=-3.5425e+00  X=[0.595 0.845 0.951 1.13]
[OK] sig_x=1.0777e-02  sig_y=1.0796e-02  alpha_x=2.0339e+00  alpha_y=2.0728e+00  X=[1.4 0.0529 0.464 0.545]
[OK] sig_x=2.8744e-02  sig_y=2.8776e-02  alpha_x=-3.7105e+01  alpha_y=-3.6409e+01  X=[0 1.4 1.4 1.4]
[OK] sig_x=2.5508e-02  sig_y=2.5506e-02  alpha_x=1.0512e+01  alpha_y=1.0573e+01  X=[0 1.4 0.646 0.597]
[OK] sig_x=2.8498e-02  sig_y=2.8485e-02  alpha_x=-2.3422e+01  alpha_y=-2.3524e+01  X=[1.4 1.4 1.4 1.4]
[OK] sig_x=2.5435e-02  sig_y=2.5544e-02  alpha_x=1.2028e+01  alpha_y=1.2044e+01  X=[0 0.376 0.473 0.3]
[OK] sig_x=2.8582e-02  sig_y=2.8353e-02  alpha_x=1.3081e+01  alpha_y=1.3084e+01  X=[0 1.34 0 0.754]
[OK] sig_x=2.4617e-02  sig_y=2.4471e-02  alpha_x=-6.1308e+01  alpha_y=-6.1635e+01  X=[1.4 0.581 0.312 1.4]
[OK] sig_x=2.8585e-02  sig_y=2.8572e-02  alpha_x=-1.0053e+02  alpha_y=-1.0382e+02  X=[0.484 1.4 1.4 0.394]
[OK] sig_x=2.1448e-02  sig_y=2.1519e-02  alpha_x=-3.9070e+01  alpha_y=-3.9549e+01  X=[1.4 0 1.4 0.207]
[OK] sig_x=5.6921e-03  sig_y=5.7322e-03  alpha_x=-4.7459e+00  alpha_y=-4.8349e+00  X=[1.4 0.397 1.02 0]
[OK] sig_x=2.7915e-02  sig_y=2.7753e-02  alpha_x=-6.7016e+01  alpha_y=-6.7601e+01  X=[1.4 0.77 1.4 0]
[OK] sig_x=1.7037e-02  sig_y=1.7146e-02  alpha_x=-3.5539e+01  alpha_y=-3.6066e+01  X=[1.37 0.152 0.358 1.36]
[OK] sig_x=1.1050e-02  sig_y=1.1072e-02  alpha_x=-1.5742e+01  alpha_y=-1.5883e+01  X=[1.4 0.942 0.844 0.878]
[OK] sig_x=3.0497e-03  sig_y=3.0661e-03  alpha_x=-3.5948e+00  alpha_y=-3.6431e+00  X=[1.4 0.949 0.616 0.862]
[OK] sig_x=2.5716e-02  sig_y=2.5747e-02  alpha_x=1.2999e+01  alpha_y=1.3067e+01  X=[0.527 1.32 0.15 0.783]
[OK] sig_x=1.2193e-02  sig_y=1.2154e-02  alpha_x=7.5254e+00  alpha_y=7.5485e+00  X=[1.4 1.4 0.632 0.541]
[OK] sig_x=9.8052e-04  sig_y=9.6796e-04  alpha_x=2.5375e-01  alpha_y=2.4221e-01  X=[1.4 0 0.348 0.919]
[OK] sig_x=3.7072e-03  sig_y=3.7354e-03  alpha_x=-2.5559e+00  alpha_y=-2.6102e+00  X=[1.19 0.776 1.03 0.674]
[OK] sig_x=6.9048e-03  sig_y=6.9454e-03  alpha_x=-8.4266e+00  alpha_y=-8.5655e+00  X=[1.4 0 0.821 0.923]
[OK] sig_x=3.2005e-03  sig_y=3.2143e-03  alpha_x=-3.1386e+00  alpha_y=-3.1714e+00  X=[0 0.706 0.601 0.4]
[OK] sig_x=7.7925e-03  sig_y=7.7751e-03  alpha_x=-4.2022e-01  alpha_y=-3.9950e-01  X=[0 0.963 0 0.969]
[OK] sig_x=2.5357e-02  sig_y=2.5459e-02  alpha_x=1.3037e+01  alpha_y=1.3042e+01  X=[0 0.519 0 0.511]
[OK] sig_x=1.7726e-02  sig_y=1.7763e-02  alpha_x=-2.4130e+01  alpha_y=-2.4363e+01  X=[1.25 0.873 1.24 0.988]
